movement_count,total_distance,movement_duration,average_velocity,maximum_velocity,velocity_variance,direction_change_count,average_direction_change,path_efficiency,straightness_ratio,label
19,95.66,721.6,0.1326,0.2346,0.0382,2,0.3479,0.8251,0.8005,0
25,189.91,513.2,0.37,0.6568,0.0495,6,0.351,0.8281,0.8561,0
21,109.14,733.9,0.1487,0.2848,0.0464,4,0.3616,0.7796,0.7659,0
19,188.57,786.3,0.2398,0.5651,0.0197,6,0.4597,0.8864,0.8757,0
22,172.92,335.2,0.5159,0.5877,0.0055,1,0.142,0.9462,0.9569,1
21,108.52,284.2,0.3818,0.3904,0.0054,1,0.0797,0.9336,0.9559,1
23,247.86,203.7,1.2167,1.4613,0.0018,0,0.1137,0.9489,0.9649,1
21,239.07,150.0,1.5938,1.878,0.0036,0,0.1377,0.9529,0.9859,1
23,173.49,279.5,0.6208,0.6755,0.0026,1,0.1052,0.9438,0.955,1
21,173.44,571.8,0.3033,0.5338,0.0483,1,0.3578,0.8454,0.8369,0
21,208.84,691.5,0.302,0.6936,0.0277,7,0.3249,0.8364,0.8455,0
25,147.8,695.5,0.2125,0.6366,0.039,9,0.6403,0.7586,0.6495,1
18,179.13,642.9,0.2786,0.494,0.0287,3,0.3622,0.6695,0.6633,0
21,211.56,814.9,0.2596,0.3803,0.008,7,0.4094,0.8433,0.8493,0
23,146.54,440.5,0.3327,0.404,0.0041,0,0.1531,0.9672,0.9818,1
22,218.67,425.4,0.514,1.0292,0.0369,5,0.486,0.8076,0.8321,1
21,145.97,574.5,0.2541,0.3524,0.0187,4,0.4664,0.8527,0.8285,0
20,218.9,771.9,0.2836,0.4608,0.0134,4,0.394,0.9528,0.98,0
21,173.25,304.0,0.5699,0.6418,0.0053,1,0.0545,0.9577,0.9686,1
23,130.43,689.0,0.1893,0.4185,0.0222,4,0.3781,0.7788,0.7404,0
21,209.06,492.0,0.425,0.457,0.0039,2,0.1514,0.9937,0.9713,1
23,186.94,538.1,0.3474,0.8134,0.0471,3,0.5196,0.7995,0.658,1
25,142.61,789.5,0.1806,0.4205,0.0417,6,0.272,0.7689,0.7411,0
23,145.13,384.0,0.378,0.4137,0.0009,0,0.0921,0.9876,0.9549,1
21,148.63,277.5,0.5357,0.6647,0.0049,0,0.0608,0.9757,0.999,1
19,285.85,771.2,0.3707,0.854,0.0478,2,0.4252,0.8178,0.779,0
21,130.37,324.8,0.4014,0.487,0.004,1,0.0217,0.999,0.9672,1
23,211.61,587.3,0.3603,0.8616,0.036,4,0.3657,0.8098,0.7941,0
23,181.75,473.8,0.3836,1.1431,0.0292,4,0.2577,0.7989,0.9122,1
19,139.75,396.5,0.3525,0.6373,0.0231,9,0.3585,0.7588,0.7403,0
25,148.66,570.9,0.2604,0.6448,0.0645,9,0.5677,0.6617,0.6266,1
21,160.51,706.1,0.2273,0.3057,0.0391,4,0.3731,0.8007,0.7834,0
18,244.21,565.8,0.4316,0.8044,0.0173,3,0.3475,0.8395,0.8306,0
20,144.54,584.8,0.2472,0.509,0.0158,6,0.4767,0.7594,0.7286,0
22,211.99,795.8,0.2664,0.5338,0.036,2,0.459,0.7922,0.8318,0
21,192.53,295.6,0.6513,0.6808,0.0035,1,0.0541,0.9694,0.9815,1
19,241.51,530.1,0.4556,0.9483,0.0536,2,0.2818,0.7926,0.8115,0
25,185.16,557.8,0.332,0.9327,0.0615,5,0.5978,0.5512,0.674,1
25,105.22,577.7,0.1821,0.2762,0.0306,4,0.5722,0.8034,0.8377,0
20,159.58,342.4,0.466,0.5092,0.0027,1,0.033,0.945,0.9918,1
23,218.59,799.9,0.2733,0.5429,0.0231,4,0.3526,0.8544,0.8815,0
24,198.05,342.0,0.5792,0.689,0.0002,0,0.0327,0.9059,0.9978,1
20,141.83,538.7,0.2633,0.3132,0.0027,2,0.1228,0.9863,0.9775,1
24,191.07,560.0,0.3412,0.7534,0.0156,2,0.4307,0.9401,0.9464,0
24,105.08,377.6,0.2783,0.315,0.0031,0,0.1699,0.9823,0.9866,1
23,93.48,488.2,0.1915,0.1958,0.0204,3,0.3118,0.8573,0.7957,1
23,171.76,795.1,0.216,0.4778,0.0143,1,0.3695,0.96,0.98,0
21,142.76,454.0,0.3145,0.3392,0.0062,1,0.1726,0.9681,0.9677,1
22,155.84,505.0,0.3086,0.3442,0.0054,1,0.0816,0.9437,0.9621,1
25,139.11,367.4,0.3787,0.4329,0.0025,0,0.0669,0.9466,0.984,1
22,169.8,455.0,0.3732,0.5339,0.0547,2,0.382,0.8692,0.8706,0
21,122.41,646.8,0.1892,0.2891,0.0365,1,0.378,0.7026,0.7082,0
25,216.19,746.3,0.2897,0.4271,0.0287,1,0.3231,0.856,0.8704,0
21,122.71,676.8,0.1813,0.5086,0.0754,3,0.6205,0.5446,0.8033,1
23,103.85,410.2,0.2532,0.7246,0.073,7,0.5082,0.552,0.8103,1
20,273.57,832.5,0.3286,0.7669,0.0368,4,0.4183,0.8909,0.8638,0
24,134.41,404.6,0.3322,0.412,0.0043,1,0.0137,0.9667,0.9481,1
21,178.92,681.8,0.2624,0.5337,0.0236,5,0.4697,0.8653,0.8262,0
25,154.89,388.9,0.3983,0.9384,0.015,5,0.6107,0.5594,0.8065,1
24,156.07,758.5,0.2058,0.2756,0.0434,4,0.4059,0.8165,0.795,0
19,125.21,842.2,0.1487,0.1938,0.0346,7,0.3416,0.7278,0.7364,0
20,195.18,484.8,0.4026,0.4142,0.0354,3,0.3383,0.6464,0.8705,1
21,188.14,318.2,0.5912,0.7156,0.0017,0,0.1182,0.9259,0.9956,1
19,245.41,727.8,0.3372,0.6479,0.0415,3,0.3658,0.8148,0.7828,0
24,157.67,728.5,0.2164,0.4702,0.0089,4,0.3838,0.8477,0.8875,0
22,263.73,853.4,0.309,0.9381,0.0419,10,0.4792,0.7756,0.6168,1
20,193.3,294.7,0.6559,0.6797,0.0038,0,0.069,0.9538,0.9655,1
22,154.27,506.8,0.3044,0.5305,0.0377,6,0.4996,0.8193,0.7808,0
19,220.16,945.6,0.2328,0.4944,0.038,5,0.2172,0.7932,0.8083,0
23,125.97,577.6,0.2181,0.25,0.0061,2,0.083,0.9558,0.9789,1
20,108.47,716.4,0.1514,0.3222,0.027,2,0.4403,0.7655,0.7782,0
21,173.39,669.2,0.2591,0.4138,0.0292,3,0.2816,0.7648,0.7764,0
24,133.4,266.1,0.5013,0.6153,0.0043,1,0.058,0.9587,0.999,1
21,157.73,337.4,0.4675,0.5478,0.0004,1,0.1641,0.9871,0.999,1
21,169.92,373.8,0.4545,0.5431,0.006,0,0.0414,0.9246,0.999,1
20,233.34,470.1,0.4964,0.5791,0.0034,0,0.052,0.9259,0.999,1
20,189.58,715.1,0.2651,0.5293,0.0427,6,0.423,0.8275,0.8419,0
22,159.58,831.6,0.1919,0.27,0.0285,2,0.4799,0.7191,0.71,0
22,112.58,560.0,0.201,0.215,0.0057,1,0.0145,0.9447,0.9538,1
22,222.56,412.5,0.5396,0.6614,0.0127,5,0.2873,0.8565,0.8507,1
20,177.78,583.3,0.3048,0.7788,0.0597,3,0.5439,0.7098,0.9,1
24,208.23,711.8,0.2925,0.5444,0.0442,5,0.4454,0.8137,0.8436,0
22,257.48,863.6,0.2981,0.6108,0.0317,12,0.5821,0.7828,0.7262,1
21,219.08,421.9,0.5193,0.5909,0.0064,0,0.0157,0.9678,0.9988,1
19,88.66,759.9,0.1167,0.1961,0.0502,5,0.3207,0.6911,0.7162,0
25,162.1,393.0,0.4125,0.43,0.0051,1,0.0416,0.9382,0.9691,1
24,167.74,487.1,0.3444,0.4641,0.0107,3,0.2975,0.8262,0.7909,0
21,138.62,648.7,0.2137,0.3121,0.0216,2,0.4518,0.6857,0.6791,0
22,160.44,359.1,0.4467,0.492,0.0006,2,0.1738,0.9771,0.999,1
25,191.27,645.6,0.2963,0.5263,0.0344,4,0.4386,0.7347,0.7476,0
20,165.11,767.6,0.2151,0.4158,0.0234,3,0.3708,0.6907,0.7102,0
23,182.58,419.8,0.4349,0.4696,0.0002,1,0.1099,0.9641,0.9755,1
21,179.01,235.9,0.7589,0.7814,0.0082,0,0.1641,0.988,0.979,1
22,148.9,529.5,0.2812,0.2923,0.0041,0,0.0337,0.9483,0.9807,1
23,236.03,737.8,0.3199,0.4508,0.0289,1,0.3379,0.8791,0.8378,0
25,121.17,565.1,0.2144,0.33,0.0296,6,0.3902,0.7629,0.7911,0
22,150.5,370.0,0.4067,1.0038,0.0531,8,0.4454,0.6037,0.7525,1
24,121.42,352.4,0.3446,0.4019,0.0017,0,0.0562,0.9605,0.9664,1
21,134.08,418.6,0.3203,0.6054,0.0134,2,0.3403,0.8856,0.9133,0
20,85.56,1060.8,0.0807,0.1576,0.0176,3,0.2882,0.7369,0.7642,0
24,197.47,608.9,0.3243,0.7336,0.0556,5,0.4727,0.7092,0.8353,1
24,189.79,669.8,0.2834,0.5547,0.0273,5,0.3265,0.8125,0.8376,0
23,133.63,980.2,0.1363,0.2038,0.0271,2,0.3099,0.7867,0.7553,0
20,140.03,332.6,0.4211,0.4954,0.0228,3,0.2794,0.7398,0.8624,1
25,151.68,747.5,0.2029,0.3478,0.0304,6,0.5128,0.9247,0.9597,0
20,173.86,455.2,0.3819,0.428,0.0025,1,0.1217,0.9412,0.9702,1
24,161.45,705.8,0.2287,0.5523,0.0511,4,0.3872,0.8436,0.8427,0
21,180.71,520.4,0.3473,0.3875,0.0044,0,0.1528,0.9723,0.9835,1
21,160.26,505.6,0.317,0.6266,0.008,1,0.3777,0.752,0.7554,0
24,120.66,480.9,0.2509,0.3074,0.0046,0,0.1401,0.9604,0.9745,1
22,103.49,626.6,0.1652,0.3392,0.0492,9,0.5957,0.6531,0.5606,1
24,113.77,724.0,0.1572,0.3199,0.0689,5,0.5126,0.6691,0.7225,1
22,186.69,688.8,0.271,0.7794,0.0257,9,0.6321,0.6936,0.7862,1
23,198.1,467.9,0.4234,0.8366,0.0391,5,0.3616,0.7122,0.7334,0
24,210.6,1004.1,0.2097,0.4991,0.0195,2,0.5778,0.8593,0.8821,0
23,57.11,718.7,0.0795,0.1601,0.0182,3,0.4319,0.8764,0.8902,0
22,222.57,495.1,0.4495,0.6829,0.0464,3,0.3971,0.7441,0.7298,0
20,186.58,475.7,0.3922,0.4125,0.0024,1,0.0716,0.9941,0.9734,1
21,178.09,710.3,0.2507,0.5876,0.02,5,0.3782,0.7519,0.7188,0
25,111.92,454.2,0.2464,0.5243,0.0529,6,0.2925,0.7937,0.8299,0
22,278.98,656.1,0.4252,1.2993,0.0219,5,0.3061,0.7535,0.8405,1
20,203.77,667.3,0.3054,0.7759,0.0614,9,0.5464,0.8365,0.8492,1
19,152.34,775.1,0.1965,0.4206,0.0196,5,0.3477,0.7614,0.7419,0
24,190.46,753.1,0.2529,0.4168,0.0184,5,0.4013,0.9268,0.9458,0
20,202.53,712.5,0.2842,0.4596,0.008,4,0.2647,0.8762,0.8914,0
22,164.44,520.0,0.3162,0.4683,0.0337,3,0.4286,0.8744,0.8646,0
25,202.28,533.4,0.3793,0.885,0.0337,5,0.3895,0.9051,0.7588,1
25,254.71,375.4,0.6785,0.7638,0.0024,0,0.0843,0.9655,0.9628,1
25,161.09,746.3,0.2158,0.4313,0.0309,4,0.3476,0.8922,0.9094,0
18,177.71,813.6,0.2184,0.4252,0.0299,2,0.2527,0.6533,0.652,0
20,222.4,570.7,0.3897,1.028,0.0289,6,0.638,0.7244,0.7373,1
25,197.8,426.5,0.4638,0.575,0.0047,1,0.037,0.999,0.955,1
24,166.37,517.9,0.3213,0.8116,0.0233,5,0.441,0.6165,0.7571,1
22,140.13,555.1,0.2525,0.555,0.0451,3,0.7146,0.6081,0.867,1
18,138.9,827.5,0.1678,0.3376,0.0185,4,0.4193,0.8223,0.7999,0
24,157.36,704.2,0.2234,0.5522,0.0118,3,0.4016,0.8227,0.782,0
24,102.59,450.2,0.2279,0.2335,0.0015,1,0.1072,0.9767,0.9536,1
24,179.37,617.5,0.2905,0.5214,0.0236,5,0.456,0.8964,0.8906,0
25,143.63,264.2,0.5436,1.5553,0.0639,9,0.4009,0.8682,0.6301,1
20,175.23,688.1,0.2546,0.4238,0.0369,2,0.4168,0.789,0.8045,0
23,151.16,561.4,0.2692,0.6345,0.0374,4,0.3859,0.8373,0.8593,0
21,179.48,579.9,0.3095,0.6444,0.0229,5,0.3589,0.7771,0.8081,0
22,166.65,790.2,0.2109,0.4438,0.0293,1,0.4572,0.8143,0.8141,0
18,186.75,701.5,0.2662,0.5983,0.027,4,0.4378,0.7965,0.7882,0
21,127.18,394.9,0.322,0.3294,0.0056,1,0.163,0.997,0.9924,1
24,218.36,268.8,0.8123,2.5545,0.0416,3,0.4679,0.5953,0.7261,1
22,174.34,150.0,1.1623,1.286,0.0008,0,0.1337,0.9805,0.9726,1
18,161.54,883.5,0.1828,0.2442,0.0205,4,0.4848,0.8611,0.9022,0
23,184.47,479.9,0.3844,0.4554,0.0002,0,0.1005,0.999,0.9698,1
25,149.2,512.5,0.2911,0.8343,0.0312,5,0.5366,0.7531,0.7638,1
21,182.71,863.0,0.2117,0.3104,0.0308,3,0.2608,0.7256,0.7223,0
20,143.41,710.0,0.202,0.3758,0.0267,4,0.4204,0.8281,0.7967,0
21,113.71,375.9,0.3025,0.3132,0.0042,0,0.0865,0.9725,0.9745,1
24,188.51,427.7,0.4408,0.4896,0.0026,1,0.0944,0.999,0.9326,1
23,201.2,456.3,0.441,0.465,0.003,1,0.0211,0.9543,0.9815,1
25,234.94,678.7,0.3462,0.4143,0.0041,1,0.0301,0.9849,0.9669,1
22,119.61,799.3,0.1496,0.2255,0.0183,3,0.3214,0.8317,0.8569,0
20,182.11,391.6,0.465,0.56,0.0017,0,0.0981,0.9665,0.9987,1
18,149.52,529.1,0.2826,0.5293,0.0242,3,0.3343,0.8266,0.8388,0
22,166.34,635.9,0.2616,0.5321,0.0309,3,0.3292,0.7819,0.7694,0
23,141.55,426.1,0.3322,0.3736,0.004,0,0.1584,0.9443,0.9679,1
23,176.21,615.8,0.2862,0.8716,0.042,6,0.5476,0.6931,0.8315,1
23,153.44,543.5,0.2823,0.504,0.0096,4,0.2352,0.7741,0.7883,0
25,235.74,604.7,0.3898,0.9004,0.0551,10,0.6768,0.6539,0.7452,1
19,173.81,839.0,0.2072,0.4228,0.0406,8,0.3789,0.7809,0.7824,0
20,228.38,423.8,0.5389,0.6094,0.005,0,0.0753,0.9311,0.999,1
25,221.39,721.0,0.3071,0.7246,0.0268,5,0.394,0.808,0.8035,0
19,127.2,686.4,0.1853,0.3673,0.0332,4,0.422,0.7908,0.8252,0
21,168.2,482.6,0.3485,0.9795,0.0689,6,0.6725,0.6311,0.7388,1
23,218.98,227.9,0.961,1.1423,0.0009,1,0.1436,0.9518,0.9683,1
